%particle           centrality  method      pt const rel sys(%) ptMin   ptMax   func        opt     par1    par1Low par1Up  par2    par2Low par2Up  par3    par3Low par3Up  par4    par4Low par4Up  par5    par5Low par5Up  par6    par6Low par6Up  par7    par7Low par7Up  par8    par8Low par8Up  par9    par9Low par9Up  par10   par10Low    par10Up     par11    par11Low par11Up       
ProtonToCPion       80100       -       -                   0.3     20.0    oHagRatio   QNRME+  1.55    -       -       0.69    -       -       -0.004  -       -       0.33    -       -       -19.98  -       -       767.01  -       -       0.43    -       -       -0.033  -       -       0.48    -       -       21.39   stop
LambdaToNKaonSubS   MB          -       -                   0.6     8.0     qcdRatio    QNRME+  11.57   -       -       7.85    -       -       -40.78  -       -       0.73    -       -       8.79    -       -       29.73   -       -       5.55    -       -       -13.25  -       -       -2.2    -       -       15.04   stop
LambdaToNKaonSubS   0005        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   0510        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   0010        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   1020        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   0020        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   2040        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   4060        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   6080        -       -                   0.6     8.0     qcdRatio    QNRME+  stop
LambdaToNKaonSubS   80100       -       -                   0.6     8.0     qcdRatio    QNRME+  stop
